,learning_rate,batch_size,neurons_per_layers,activation_functions,score
0,0.0001,16,[8],"('relu',)",tensor(0.2885)
1,0.0001,16,[8],"('sigmoid',)",tensor(0.3331)
2,0.0001,16,[8],"('tanh',)",tensor(0.3026)
3,0.0001,32,[8],"('relu',)",tensor(0.3153)
4,0.0001,32,[8],"('sigmoid',)",tensor(0.3097)
5,0.0001,32,[8],"('tanh',)",tensor(0.3179)
6,0.0001,64,[8],"('relu',)",tensor(0.3397)
7,0.0001,64,[8],"('sigmoid',)",tensor(0.3200)
8,0.0001,64,[8],"('tanh',)",tensor(0.3243)
9,0.001,16,[8],"('relu',)",tensor(0.2907)
10,0.001,16,[8],"('sigmoid',)",tensor(0.2699)
11,0.001,16,[8],"('tanh',)",tensor(0.2954)
12,0.001,32,[8],"('relu',)",tensor(0.2772)
13,0.001,32,[8],"('sigmoid',)",tensor(0.2893)
14,0.001,32,[8],"('tanh',)",tensor(0.2700)
15,0.001,64,[8],"('relu',)",tensor(0.2612)
16,0.001,64,[8],"('sigmoid',)",tensor(0.2906)
17,0.001,64,[8],"('tanh',)",tensor(0.2820)
18,0.01,16,[8],"('relu',)",tensor(0.2838)
19,0.01,16,[8],"('sigmoid',)",tensor(0.2481)
20,0.01,16,[8],"('tanh',)",tensor(0.2726)
21,0.01,32,[8],"('relu',)",tensor(0.2577)
22,0.01,32,[8],"('sigmoid',)",tensor(0.2258)
23,0.01,32,[8],"('tanh',)",tensor(0.2404)
24,0.01,64,[8],"('relu',)",tensor(0.2804)
25,0.01,64,[8],"('sigmoid',)",tensor(0.2342)
26,0.01,64,[8],"('tanh',)",tensor(0.2563)
27,0.0001,16,[12],"('relu',)",tensor(0.3293)
28,0.0001,16,[12],"('sigmoid',)",tensor(0.3162)
29,0.0001,16,[12],"('tanh',)",tensor(0.3047)
30,0.0001,32,[12],"('relu',)",tensor(0.3112)
31,0.0001,32,[12],"('sigmoid',)",tensor(0.3180)
32,0.0001,32,[12],"('tanh',)",tensor(0.2900)
33,0.0001,64,[12],"('relu',)",tensor(0.3086)
34,0.0001,64,[12],"('sigmoid',)",tensor(0.3886)
