,activation_functions,batch_size,learning_rate,nb_epoch,neuron_layers,optimizer_type,score
0,"['relu', 'relu']",32,0.001,100,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.22289299666881562
1,"['relu', 'relu']",32,0.001,100,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.2752607583999634
2,"['relu', 'relu']",32,0.001,100,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.2397388458251953
3,"['relu', 'relu']",32,0.001,100,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.2810391843318939
4,"['relu', 'relu']",32,0.001,100,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.2268563538789749
5,"['relu', 'relu']",32,0.001,100,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.27784013748168945
6,"['relu', 'relu']",32,0.001,200,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.21614512503147126
7,"['relu', 'relu']",32,0.001,200,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.25829672515392305
8,"['relu', 'relu']",32,0.001,200,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.2283527672290802
9,"['relu', 'relu']",32,0.001,200,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.26229503750801086
10,"['relu', 'relu']",32,0.001,200,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.22102179229259492
11,"['relu', 'relu']",32,0.001,200,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.2624178409576416
12,"['relu', 'relu']",32,0.001,300,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.21214241683483123
13,"['relu', 'relu']",32,0.001,300,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.25246843695640564
14,"['relu', 'relu']",32,0.001,300,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.2239397644996643
15,"['relu', 'relu']",32,0.001,300,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.25572534203529357
16,"['relu', 'relu']",32,0.001,300,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.22012402415275573
17,"['relu', 'relu']",32,0.001,300,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.25224747955799104
18,"['relu', 'relu']",32,0.002,100,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.21700026094913483
19,"['relu', 'relu']",32,0.002,100,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.25808029174804686
20,"['relu', 'relu']",32,0.002,100,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.22822245657444
21,"['relu', 'relu']",32,0.002,100,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.26300663948059083
22,"['relu', 'relu']",32,0.002,100,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.22144855856895446
23,"['relu', 'relu']",32,0.002,100,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.26169525980949404
24,"['relu', 'relu']",32,0.002,200,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.2150008648633957
25,"['relu', 'relu']",32,0.002,200,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.24439900517463684
26,"['relu', 'relu']",32,0.002,200,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.23502871692180632
27,"['relu', 'relu']",32,0.002,200,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.2516948848962784
28,"['relu', 'relu']",32,0.002,200,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.21611958742141724
29,"['relu', 'relu']",32,0.002,200,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.2479454457759857
30,"['relu', 'relu']",32,0.002,300,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.2150075614452362
31,"['relu', 'relu']",32,0.002,300,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.23349117934703828
32,"['relu', 'relu']",32,0.002,300,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.22105847895145417
33,"['relu', 'relu']",32,0.002,300,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.2451460599899292
34,"['relu', 'relu']",32,0.002,300,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.21510477662086486
35,"['relu', 'relu']",32,0.002,300,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.2420573651790619
36,"['relu', 'relu']",64,0.001,100,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.22435900270938874
37,"['relu', 'relu']",64,0.001,100,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.29237781167030336
38,"['relu', 'relu']",64,0.001,100,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.23664996027946472
39,"['relu', 'relu']",64,0.001,100,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.3001272678375244
40,"['relu', 'relu']",64,0.001,100,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.23354870975017547
41,"['relu', 'relu']",64,0.001,100,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.296305388212204
42,"['relu', 'relu']",64,0.001,200,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.21955656707286836
43,"['relu', 'relu']",64,0.001,200,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.2777577579021454
44,"['relu', 'relu']",64,0.001,200,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.2289258509874344
45,"['relu', 'relu']",64,0.001,200,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.27962073087692263
46,"['relu', 'relu']",64,0.001,200,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.22422681152820587
47,"['relu', 'relu']",64,0.001,200,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.27617003321647643
48,"['relu', 'relu']",64,0.001,300,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.21648708879947662
49,"['relu', 'relu']",64,0.001,300,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.2628393888473511
50,"['relu', 'relu']",64,0.001,300,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.22441440522670747
51,"['relu', 'relu']",64,0.001,300,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.2676503598690033
52,"['relu', 'relu']",64,0.001,300,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.22221844494342805
53,"['relu', 'relu']",64,0.001,300,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.2670413851737976
54,"['relu', 'relu']",64,0.002,100,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.22118885219097137
55,"['relu', 'relu']",64,0.002,100,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.2732288658618927
56,"['relu', 'relu']",64,0.002,100,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.23386823534965515
57,"['relu', 'relu']",64,0.002,100,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.283100551366806
58,"['relu', 'relu']",64,0.002,100,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.22154179513454436
59,"['relu', 'relu']",64,0.002,100,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.2776574730873108
60,"['relu', 'relu']",64,0.002,200,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.21586646437644957
61,"['relu', 'relu']",64,0.002,200,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.25999575257301333
62,"['relu', 'relu']",64,0.002,200,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.22128088176250457
63,"['relu', 'relu']",64,0.002,200,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.2615772902965546
64,"['relu', 'relu']",64,0.002,200,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.21765924096107483
65,"['relu', 'relu']",64,0.002,200,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.262798672914505
66,"['relu', 'relu']",64,0.002,300,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.21483359336853028
67,"['relu', 'relu']",64,0.002,300,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.251132994890213
68,"['relu', 'relu']",64,0.002,300,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.22498948872089386
69,"['relu', 'relu']",64,0.002,300,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.25833435356616974
70,"['relu', 'relu']",64,0.002,300,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.21717921197414397
71,"['relu', 'relu']",64,0.002,300,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.25533467829227446
72,"['relu', 'relu']",128,0.001,100,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.23046199083328248
73,"['relu', 'relu']",128,0.001,100,"[16, 8]",<class 'torch.optim.sgd.SGD'>,0.3270214438438416
74,"['relu', 'relu']",128,0.001,100,"[12, 4]",<class 'torch.optim.adam.Adam'>,0.24435334503650666
75,"['relu', 'relu']",128,0.001,100,"[12, 4]",<class 'torch.optim.sgd.SGD'>,0.33120582103729246
76,"['relu', 'relu']",128,0.001,100,"[12, 8]",<class 'torch.optim.adam.Adam'>,0.23512156307697296
77,"['relu', 'relu']",128,0.001,100,"[12, 8]",<class 'torch.optim.sgd.SGD'>,0.3194378674030304
78,"['relu', 'relu']",128,0.001,200,"[16, 8]",<class 'torch.optim.adam.Adam'>,0.220462104678154
